,企業名,キャッチコピー,ステータス,給与
240,株式会社京進 | 東証二部上場,"【学習塾教室長】独立を目指し、教室長として""経営""を学べる！ 契約社員",契約社員,月給20万円以上 ※経験や能力を考慮の上、決定します。 ・・・独立後・・・ 【年間モデル収益】 年間…
241,株式会社前平電機 | 年収700万円の実績あり／賞与年間3回支給実績あり（前年度）,【電気工事スタッフ】※完全週休2日も選択OK／未経験歓迎 正社員,正社員,"経験者…月給30万6,000円〜41万3,000円（実務経験5年程度の方） 未経験…月給20万6,000円以上 ▼完全週…"
242,株式会社マリオットバケーションクラブインターナショナル | ＜タイムシェアのリーディングカンパニー＞正社員登用の実績あり,世界中の高級リゾートを提供する【営業職】＊100％反響＊完休2日 契約社員,契約社員,月給20万円以上 + コミッション(上限設定なし） ※経験・年齢を考慮の上、当社規定により優遇します。 ※…
243,株式会社UPSTART | 設立3年で5名から120名に！営業アウトソーシング急成長企業！,【営業】平均年齢25歳☆未経験歓迎！無料の寮完備！月給30万円～ 正社員,正社員,月給30万円 ※固定残業代（2万7000円／11.5時間分）含む。 　超過分は別途支給。 ※固定残業代は残業がな…
244,株式会社LTCパートナーズ | 事業部長候補／年間休日125日以上／残業ほぼなし／学歴不問,【賃貸管理】経験者優遇★月給30万円～＋賞与★完全週休2日制 正社員,正社員,★月給30万円〜＋賞与＋各種手当 ※経験・年齢・能力などを考慮して、給与額を決定します。 ※試用期間3…
245,株式会社ワンダー | 約20兆円のマーケットで高い成約率 ！※大阪緊急雇用対策に賛同,【反響営業】残業＆ノルマなしの環境でも”高収入”が実現！ 正社員,正社員,月給22万円〜60万円 ＋ インセンティブ + 諸手当 【週休2日制：月給25万円〜】 【完全週休2日制：月給22…
246,フジミハウジング株式会社 | TV番組などメディア出演多数！★連休取得OK/退職金制度有,売買・仲介の【不動産営業】高待遇★年収1000万円以上も可能 正社員,正社員,月給30万円〜50万円＋インセンティブ（歩合率20％）＋売上達成報奨金（年1回） ※固定残業代（7万239円…
247,株式会社マイホーム | 「センチュリー２１」でお馴染み！ 収入もスキルアップも充実！,【提案営業】◎未経験歓迎 ◎完全反響営業 ★インセンティブ充実 正社員,正社員,"月給30万円 + 各種手当 ＋ 歩合給 ※上記金額は、【30時間分】の固定残業代【45,000円】が含まれます。超…"
248,株式会社マリオットバケーションクラブインターナショナル,【事務オペレーションスタッフ】★旅行好き歓迎♪ 契約社員,契約社員,月給25万以上＋インセンティブ ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3ヶ月あ…
249,株式会社松陰会舘 | ＊20～30代が活躍中＊年休124日＊残業月平均10時間＊月給27万～,＼新事業の立ち上げメンバー／【営業】★ノルマなし★安定性抜群 正社員,正社員,月給27万〜40万円 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間3ヶ月（待遇に変更はありま…
250,リアルティ株式会社 | ★毎月インセン&賞与年2回★20代で営業所長の実績あり,【不動産営業】スピード出世&収入UPできる働き方☆未経験歓迎 正社員,正社員,月給 25万円〜50万円 ＋（毎月インセンティブ）＋（賞与年2回） ※上記は最低保証額となります。 これま…
251,株式会社窪治組 | ほぼ残業なし★社員寮完備★週休2日★実働7.5時間★各種手当充実,未経験歓迎！【土木作業員(現場監督候補)】★面接保証(面接1回) 正社員,正社員,■月給22万円〜28万円 ※お持ちのスキル・経験など最大限考慮して決定します。 ※試用期間1ヵ月あり（待…
252,株式会社インターレイズ | ◆大阪府緊急雇用対策に賛同／未経験OK／学歴不問／全員面接可,全身脱毛無料の美容特典あり！就職したい脱毛サロンNo.1【受付】 正社員,正社員,◆月給21万円〜40万円＋達成手当＋ボーナス年2回 ◎店舗売上達成手当(3万円〜／月) ◎目標達成手当(3万円…
253,大長産業株式会社 | 創業32年の安定企業／未経験歓迎／月給30万円～／40代以上活躍中,【提案営業】今までのキャリアを活かして当社で人生最後の転職を 正社員,正社員,"月給30万円〜＋歩合給 ※月給30万円の場合、固定残業手当60時間分91,837円を含む。 ※上記時間を超えた…"
254,スカイジャパン株式会社 | 入社1年目で月給９万円UPした社員も！在宅勤務もOK！,未経験でも高収入/月給30万円以上!【提案営業】ノルマ&残業なし 正社員,正社員,月給30万円〜 + 賞与(年2回) ★待遇条件の詳細については、面接でご相談ください！ ※上記は最低保証金…
255,アパルトマンイクシーズ株式会社 | ★インセン年12回＋賞与年2回★年収1000万円可能★20代活躍中★,未経験から「稼げる営業」に転身【土地活用の提案型営業】 正社員,正社員,月給22万円以上 ＋ 毎月インセンティブ ＋ 賞与（年2回） ※経験・年齢・能力を考慮のうえ、決定致します…
256,株式会社テクトン | WEB面接可／20代・30代活躍中／年間休日125日／土日祝休み,【人材営業＆コーディネーター】専門スキルを磨ける営業職！ 正社員,正社員,◆年俸制：300万円〜900万円 ※前職給与・経験・年齢・能力などを考慮して、給与額を決定します。 ※年俸…
257,積水ハウス不動産中国四国株式会社 | 【中四国トップクラスの売上高・積水ハウスグループ】賞与年3回,【営業職】★年休129日★積水ハウスグループの安定性！ 正社員,正社員,"月給21万3,500円以上＋業績手当+残業手当＋賞与2回＋決算賞与 ※経験・能力等を考慮の上、決定します。 …"
258,株式会社日本総合ビジネス | ─◆総合広告代理店として成長中／土日祝休／残業10h以下◆─,自社媒体メインなので提案しやすい【求人広告の営業】未経験歓迎 正社員,正社員,月給21万円〜25万円＋インセンティブ＋賞与＋各種手当 ◎残業代は別途全額支給。 ◎経験や能力などを考慮…
259,株式会社浜石工務店 | TV・ラジオCMでもお馴染み！創業46年・地域密着型の堅実派企業,【営業（建築請負・仕入れなど）】 ★完全週休2日・残業ほぼなし 契約社員,契約社員,月給25万円＋各種手当＋歩合給＋賞与（年2回） 【モデル年収】 年収500万円／29歳／一般職 年収700万円…
260,株式会社アイシーイノベーション | ★土日祝休み ★特別手当年3回 ★残業平均月10h,【インフラ構築エンジニア】★フレックス制度・テレワークあり 正社員,正社員,"月給250,000円〜390,000円 ※スキル・経験を考慮し当社規定により決定します ※上記給与には20時間分の固…"
261,アパルトマンイクシーズ株式会社 | 伸びしろある事業とともに自身の成長も実現　★土日祝休み,【営業事務】★未経験者歓迎★完全週休2日制★女性活躍中！ 正社員,正社員,"月給17万5,000円〜20万円 ※経験・年齢・能力を考慮のうえ、決定致します。 ※試用期間6ヶ月(期間中の待…"
262,株式会社フットワーク | 創業30年以上！東京、町田市の安定企業◆転勤なし◆週休2日制,高水準インセンティブ有！【賃貸営業】残業ゼロ／完全反響営業！ 正社員,正社員,◆月給24万円〜48万円+インセンティブ+賞与（年2回） 年収例　880万円以上の実績有り！ ※給与額は経験や…
263,株式会社ユースリー | 転勤なし・土日祝休・有給消化100％・時流に沿った働き方を展開,【IT営業】未経験歓迎/土日祝休/年休124日以上/月残業20h以内 正社員,正社員,月給25万円以上+高額インセンティブ賞与 ※経験を考慮の上、当社規定により優遇します。
264,株式会社トラスト不動産 | 【ハウスドゥ北大路大宮店】6月OPEN！同期と共に成長できる,★オープニング募集★【不動産営業】※研修充実！未経験者も歓迎 正社員,正社員,月給20万円〜37万円＋インセンティブ（仲介手数料の10%を支給） ※年齢・経験を考慮の上、当社規定によ…
